BC Repair Rescue Conditioner 200ml,5.97,12.43,0,1,-1,0,0,0,0,4,-5.97,NA,0%,912,4045787327687
BM Keratin Restore Bonding Mask All Blondes 200ml,8.94,17.95,0,1,1,0,0,0,0,1,1.56,15%,0%,871,4045787369939
Bold Wash Blue,7.50,15.00,2,5,1,1,1,0,0,3,22.50,38%,40%,318,4045787430493
Bold Wash Pink,7.74,15.00,4,8,-2,1,1,0,0,9,8.58,12%,50%,87,4045787430431
Bold Wash Purple,7.74,15.00,5,5,0,0,0,0,0,2,6.30,14%,100%,302,4045787430417
Bold Wash Red,7.74,15.00,2,5,-1,0,0,0,0,6,16.80,30%,40%,302,4045787430455
FIBRE CLINIX Tame Conditioner,9.03,18.05,0,1,-1,0,0,0,0,0,3.61,29%,0%,NA,4045787573022
FIBRE CLINIX Tame Shampoo,8.52,17.00,0,1,-1,0,1,0,0,0,3.38,28%,0%,NA,4045787572988
FIBRE CLINIX Tame Treatment,9.57,19.10,0,1,-1,0,1,0,0,0,3.80,28%,0%,NA,4045787573121
Keratin Smooth Perfect: Duo Layering,15.06,30.10,0,6,-7,0,0,0,0,13,-9.09,-11%,0%,NA,4045787465846
Page 7,,,,,,,,,,,,,,,
Keratin smooth perfect conditioner,6.36,12.30,0,2,1,0,0,0,0,5,-3.49,-38%,0%,548,4045787429572
Keratin smooth perfect micellar shampoo,5.73,11.45,2,3,0,0,0,0,0,3,7.44,30%,67%,274,4045787429558
Keratin smooth perfect treatment,7.17,14.30,0,3,-2,0,0,0,0,3,-10.78,-100%,0%,506,4045787429695
PH 4.5 Color Freeze: Chocolate Micellar Shampoo,5.73,11.45,3,3,0,0,0,0,0,0,13.73,44%,100%,344,4045787466386
Peptide Repair Rescue : Blow-Defence,8.10,15.80,6,5,2,0,0,0,0,8,38.50,49%,120%,274,4045787465860
UV Filter Color Freeze : Liquid Shine ,8.10,15.80,0,1,0,0,0,0,0,6,7.70,49%,0%,NA,4045787465822
blondeme blush wash silver,8.64,17.25,2,4,1,0,0,0,0,3,25.82,43%,50%,267,4045787423785
blondme blush wash apricot,8.64,17.25,5,5,-1,0,0,0,0,8,4.24,9%,100%,318,4045787423808
blondme blush wash lilac,14.40,17.25,5,6,0,0,0,0,0,3,-4.46,-5%,83%,318,4045787423761
blondme blush wash strawberry,14.40,17.25,11,7,-5,0,0,0,0,17,-19.72,-24%,157%,274,4045787423747
collagen volume boost micellar shampoo,5.73,11.10,0,2,2,0,0,0,0,0,10.74,48%,0%,646,4045787429633
collagen volume boost whipped conditioner,6.36,12.65,0,1,1,0,0,0,0,0,3.13,33%,0%,703,4045787429879
hyaluronic moisture kick micellar cleansing conditioner,11.43,22.80,0,1,3,1,1,0,0,0,11.37,50%,0%,NA,4045787429336
hyaluronic moisture kick micellar conditioner,6.36,12.30,5,9,-2,0,0,0,0,2,15.96,22%,56%,267,4045787429459
hyaluronic moisture kick micellar spray conditioner,6.36,12.65,7,21,-21,2,3,0,0,25,27.73,17%,33%,274,4045787429497
hyaluronic moisture kick micellar treatment,7.17,13.90,2,5,3,0,0,0,0,3,16.28,31%,40%,274,4045787429534
pH 4.5 Colour Freeze Conditioner,6.36,12.65,0,10,-6,1,1,0,0,5,34.44,35%,0%,519,4045787429237
pH 4.5 Colour Freeze Gold Shimmer Micellar Shampoo,5.73,11.45,2,2,2,0,0,0,0,6,-0.01,0%,100%,344,4045787430172
pH 4.5 Colour Freeze Rich Micellar Shampoo,5.73,11.10,2,10,-10,0,0,0,0,10,-1.80,-3%,20%,344,4045787428797
pH 4.5 Colour Freeze Silver Micellar Shampoo,5.73,11.45,15,59,-74,4,4,0,0,73,113.65,25%,25%,274,4045787430134
pH 4.5 Colour Freeze Spray Conditioner,6.36,12.65,0,4,-1,0,0,0,0,8,12.51,33%,0%,519,4045787429275
pH 4.5 Colour Freeze Sulfate Free Micellar Shampoo,5.73,11.45,0,9,-3,0,1,0,0,9,22.86,31%,0%,437,4045787428759
pH 4.5 Colour Freeze Vibrant Red Micellar Shampoo,5.73,11.10,0,5,-2,1,1,0,0,4,4.65,14%,0%,506,4045787430257
Page 8,,,,,,,,,,,,,,,
peptide repair rescue conditioner,6.36,12.65,2,7,1,0,0,0,0,6,-6.57,-17%,29%,274,4045787428834
peptide repair rescue deep nourishing micellar shampoo,7.73,11.45,0,4,0,0,0,0,0,11,11.45,27%,0%,597,4045787428698
peptide repair rescue deep nourishing treatment,7.17,13.90,2,5,-6,0,0,0,0,10,19.75,36%,40%,332,4045787429091
peptide repair rescue micellar shampoo,7.73,11.45,0,2,5,0,0,0,0,3,7.44,32%,0%,NA,4045787427523
peptide repair rescue nutri-shield serum,7.17,13.90,0,1,2,0,1,0,0,3,2.56,26%,0%,NA,4045787430646
